Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
heard;speech/rhetoric;Israel.;at a student club;a student.;2024-09-16 12:07:18
experienced;speech/rhetoric;Jewish students.;in my dorm;a student.;2024-09-16 12:14:04
saw;graffiti;Jews or the Jewish community.;at a student club;i’m not sure/unknown.;2024-09-16 12:20:31
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;a professor.;2024-09-16 12:21:14
experienced;faculty conduct;Israel.;in a classroom;i’m not sure/unknown.;2024-09-16 12:26:16
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-16 12:26:57
experienced;physical assault;Jewish students.;on the quad;a campus club or organization.;2024-09-16 12:27:28
heard;speech/rhetoric;Jewish students.;at a student club;a campus club or organization.;2024-09-16 12:28:00
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-16 12:28:56
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 12:30:04
heard;speech/rhetoric;me.;at Hillel or Chabad;a professor.;2024-09-16 12:30:16
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-09-16 12:32:44
heard;speech/rhetoric;faculty, staff, or administrators.;on the quad;a professor.;2024-09-16 12:32:56
saw;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-09-16 12:33:15
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-16 12:33:45
saw;something else;Israel.;online;a campus club or organization.;2024-09-16 12:34:17
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-09-16 12:34:17
felt;graffiti;Israel.;on the quad;a campus club or organization.;2024-09-16 12:34:45
felt;speech/rhetoric;Jewish students.;in a classroom;a student.;2024-09-16 12:35:09
heard;something else;the Israeli government.;in a classroom;a student.;2024-09-16 12:35:47
saw;speech/rhetoric;Israel.;—;—;2024-09-16 12:35:53
saw;speech/rhetoric;Israel.;on the quad;a student.;2024-09-16 12:36:16
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-16 12:36:36
experienced;physical assault;Israel.;on the quad;someone from off campus.;2024-09-16 12:36:52
saw;graffiti;Jewish students.;in a classroom;i’m not sure/unknown.;2024-09-16 12:37:22
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a campus club or organization.;2024-09-16 12:37:30
experienced;speech/rhetoric;me.;in my dorm;a student.;2024-09-16 12:37:50
experienced;faculty conduct;me.;in a classroom;a professor.;2024-09-16 12:37:54
heard;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-16 12:37:55
felt;call for BDS (Boycott, Divestment, Sanctions);me.;in my dorm;a student.;2024-09-16 12:38:32
experienced;speech/rhetoric;me.;on the quad;—;2024-09-16 12:38:40
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;—;2024-09-16 12:39:02
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-16 12:39:14
experienced;physical assault;Jewish students.;at Hillel or Chabad;a professor.;2024-09-16 12:39:21
heard;speech/rhetoric;Israel.;off campus;a student.;2024-09-16 12:39:24
experienced;speech/rhetoric;faculty, staff, or administrators.;off campus;a campus club or organization.;2024-09-16 12:39:25
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-09-16 12:39:58
saw;physical assault;Jewish students.;off campus;a professor.;2024-09-16 12:40:13
heard;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-09-16 12:40:17
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-16 12:41:16
experienced;property damage;Jews or the Jewish community.;off campus;i’m not sure/unknown.;2024-09-16 12:41:42
felt;speech/rhetoric;me.;off campus;—;2024-09-16 12:42:40
saw;speech/rhetoric;me.;off campus;i’m not sure/unknown.;2024-09-16 12:42:44
saw;speech/rhetoric;the Israeli government.;in my dorm;a student.;2024-09-16 12:43:12
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-09-16 12:43:31
—;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-09-16 12:43:55
experienced;physical assault;Jewish students.;off campus;someone from off campus.;2024-09-16 12:44:18
heard;something else;Israel.;off campus;a professor.;2024-09-16 12:45:01
experienced;graffiti;Israel.;in my dorm;someone from off campus.;2024-09-16 12:45:05
experienced;graffiti;the Israeli government.;on the quad;a campus club or organization.;2024-09-16 12:45:09
saw;graffiti;Jewish students.;off campus;i’m not sure/unknown.;2024-09-16 12:45:49
saw;graffiti;Jews or the Jewish community.;in my dorm;a student.;2024-09-16 12:45:51
heard;speech/rhetoric;me.;in a classroom;a student.;2024-09-16 12:46:54
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-09-16 12:47:08
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-09-16 12:47:59
saw;speech/rhetoric;Jews or the Jewish community.;online;someone from off campus.;2024-09-16 12:48:19
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2024-09-16 12:49:52
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-09-16 12:50:14
felt;faculty conduct;—;in my dorm;a professor.;2024-09-16 12:52:09
felt;faculty conduct;Israel.;in a classroom;a professor.;2024-09-16 12:54:31
heard;speech/rhetoric;Jews or the Jewish community.;online;a professor.;2024-09-16 12:54:50
felt;property damage;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 12:54:58
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-09-16 12:54:59
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-16 12:55:20
experienced;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;at Hillel or Chabad;—;2024-09-16 12:56:38
experienced;speech/rhetoric;Israel.;on the quad;a professor.;2024-09-16 12:57:14
saw;property damage;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 12:58:26
saw;graffiti;Jews or the Jewish community.;on the quad;a campus club or organization.;2024-09-16 12:58:56
heard;something else;faculty, staff, or administrators.;off campus;i’m not sure/unknown.;2024-09-16 12:59:01
experienced;speech/rhetoric;Jewish students.;in a classroom;a student.;2024-09-16 12:59:33
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;on the quad;a student.;2024-09-16 13:01:02
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;a campus club or organization.;2024-09-16 13:01:42
saw;speech/rhetoric;Israel.;in my dorm;a student.;2024-09-16 13:02:08
experienced;speech/rhetoric;me.;off campus;someone from off campus.;2024-09-16 13:02:25
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2024-09-16 13:05:10
experienced;faculty conduct;Israel.;on the quad;a professor.;2024-09-16 13:06:14
heard;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2024-09-16 13:06:53
experienced;speech/rhetoric;me.;off campus;someone from off campus.;2024-09-16 13:07:17
felt;graffiti;Israel.;off campus;someone from off campus.;2024-09-16 13:07:37
felt;faculty conduct;Israel.;on the quad;a professor.;2024-09-16 13:08:29
heard;property damage;me.;in my dorm;a student.;2024-09-16 13:09:16
experienced;speech/rhetoric;me.;off campus;i’m not sure/unknown.;2024-09-16 13:09:17
—;graffiti;Izrael.;—;—;2024-09-16 13:09:42
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-16 13:09:49
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-16 13:09:50
experienced;speech/rhetoric;Israel.;in my dorm;a student.;2024-09-16 13:12:03
heard;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2024-09-16 13:12:54
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-16 13:13:25
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-09-16 13:14:35
experienced;physical assault;Jewish students.;at Hillel or Chabad;a student.;2024-09-16 13:15:13
experienced;speech/rhetoric;me.;in my dorm;a student.;2024-09-16 13:15:32
felt;graffiti;Jews or the Jewish community.;at Hillel or Chabad;a professor.;2024-09-16 13:15:48
heard;speech/rhetoric;the Israeli government.;online;someone online.;2024-09-16 13:16:26
experienced;speech/rhetoric;Israel.;online;—;2024-09-16 13:16:26
felt;speech/rhetoric;Israel.;at my fraternity or sorority;a student.;2024-09-16 13:17:31
heard;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-16 13:17:38
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-16 13:17:52
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;a campus club or organization.;2024-09-16 13:18:12
experienced;physical assault;me.;in my dorm;a student.;2024-09-16 13:18:32
felt;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 13:18:35
heard;speech/rhetoric;Israel.;on the quad;a student.;2024-09-16 13:19:24
heard;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;in a classroom;i’m not sure/unknown.;2024-09-16 13:21:11
heard;speech/rhetoric;me.;on the quad;a student.;2024-09-16 13:21:52
experienced;something else;me.;off campus;someone from off campus.;2024-09-16 13:22:38
heard;faculty conduct;Israel.;in a classroom;i’m not sure/unknown.;2024-09-16 13:24:23
felt;property damage;Jewish students.;in a classroom;someone online.;2024-09-16 13:27:39
heard;speech/rhetoric;Israel.;on the quad;—;2024-09-16 13:29:38
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-09-16 13:31:06
felt;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-16 13:33:20
heard;something else;the Israeli government.;on the quad;a student.;2024-09-16 13:33:28
felt;graffiti;faculty, staff, or administrators.;at Hillel or Chabad;i’m not sure/unknown.;2024-09-16 13:34:53
experienced;something else;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 13:37:10
experienced;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 13:39:02
saw;graffiti;the Israeli government.;on the quad;i’m not sure/unknown.;2024-09-16 13:39:40
heard;speech/rhetoric;Jews or the Jewish community.;in my dorm;a student.;2024-09-16 13:39:41
heard;graffiti;Israel.;in a classroom;a student.;2024-09-16 13:40:12
felt;graffiti;Israel.;on the quad;—;2024-09-16 13:41:13
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-09-16 13:42:07
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-16 13:42:45
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;someone from off campus.;2024-09-16 13:46:56
heard;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-09-16 13:47:13
experienced;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;off campus;someone from off campus.;2024-09-16 13:51:35
experienced;physical assault;me.;at a student club;a professor.;2024-09-16 13:51:53
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-09-16 13:52:52
experienced;physical assault;me.;in a classroom;a student.;2024-09-16 13:53:45
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-09-16 13:53:59
heard;speech/rhetoric;Israel.;on the quad;a student.;2024-09-16 13:58:05
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2024-09-16 13:58:50
experienced;physical assault;me.;on the quad;a student.;2024-09-16 13:58:50
felt;graffiti;Jewish students.;in my dorm;i’m not sure/unknown.;2024-09-16 13:59:39
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2024-09-16 13:59:53
felt;speech/rhetoric;me.;in my dorm;a student.;2024-09-16 14:00:27
—;speech/rhetoric;—;—;—;2024-09-16 14:04:46
heard;speech/rhetoric;Jewish students.;in a classroom;a professor.;2024-09-16 14:06:06
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-09-16 14:06:17
heard;speech/rhetoric;Jewish students.;in a classroom;a professor.;2024-09-16 14:07:02
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;a student.;2024-09-16 14:07:51
felt;something else;faculty, staff, or administrators.;at my fraternity or sorority;i’m not sure/unknown.;2024-09-16 14:10:04
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;at my fraternity or sorority;i’m not sure/unknown.;2024-09-16 14:10:57
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-16 14:11:50
felt;faculty conduct;Israel.;in a classroom;a professor.;2024-09-16 14:15:38
heard;speech/rhetoric;me.;off campus;someone from off campus.;2024-09-16 14:19:15
experienced;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2024-09-16 14:22:20
saw;speech/rhetoric;Israel.;on the quad;someone from off campus.;2024-09-16 14:23:20
experienced;speech/rhetoric;me.;at a student club;a student.;2024-09-16 14:24:20
heard;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;on the quad;a professor.;2024-09-16 14:26:23
heard;something else;Israel.;off campus;—;2024-09-16 14:29:30
heard;faculty conduct;the Israeli government.;in a classroom;a professor.;2024-09-16 14:33:08
experienced;something else;Israel.;on the quad;a student.;2024-09-16 14:41:51
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-09-16 14:41:56
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-09-16 14:43:35
saw;speech/rhetoric;Jews or the Jewish community.;at Hillel or Chabad;a student.;2024-09-16 14:45:56
heard;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-16 14:46:14
heard;graffiti;Jews or the Jewish community.;off campus;someone from off campus.;2024-09-16 14:47:46
felt;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2024-09-16 14:49:34
experienced;physical assault;me.;in my dorm;a student.;2024-09-16 14:50:09
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-16 14:55:37
felt;speech/rhetoric;Israel.;online;a student.;2024-09-16 14:59:26
felt;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-09-16 15:05:27
saw;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-09-16 15:08:26
experienced;property damage;Israel.;in a classroom;a student.;2024-09-16 15:08:56
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-09-16 15:09:25
